,,,,,,,400,600,1045,2090,50%,,,"Topwear,Shirts,Tshirts",,,,,,Trousers,,Dress ,,,,,,Coord Set / Jumpsuits,,,,Ethnic Kurti / Set,,,,,,,,,Denim Jeans,,,,Outerwear / Jackets,,
Style Code,Brand Name,Category Type,SKU Id,Color,Size,L1,Fibre Composition,COO,PO PRCE,OSP in SAR,PO Qnty,Knitted / Wovan,Product Name / Title,Tops_Fit,Top_Tyle,Top_Neck,Top_Lenth,Top_pattern & Prints,sleeve_length,*pattern,*product_type_trousers,Dress Print,Dress Length,Dress Shape,*sleeve_length_women_topwear_dr(dress),*neck_women(dress),*sleeve_styling(dress),*pattern,*print_or_pattern_type,*bottom_type_sets,*top_type_set,Print,Length,ethnic_sleeve_length,*ethnic_pattern,*ethnic_fit,*ethnic_type,*ethnic_neckline,*ethnic_leg_style,ethnic_sleeve_type,Jeans_Fit,Jeans_Waist Rise,Jeans_stretch,Jeans_Wash Shade,pattern,product_type_Outerwear,length_topwear_nightwear_outer
HRDS25004-B-NAVY-XL,House Of Raeli,Dresses,,Navy,XL,Women,100% Cotton,India,625,100,4,Woven,Women's Navy Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-B-NAVY-XXL,House Of Raeli,Dresses,,Navy,XXL,Women,100% Cotton,India,625,100,4,Woven,Women's Navy Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-C-OLIVE-S,House Of Raeli,Dresses,,Olive,S,Women,100% Cotton,India,625,100,4,Woven,Women's OLIVE Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-C-OLIVE-M,House Of Raeli,Dresses,,Olive,M,Women,100% Cotton,India,625,100,7,Woven,Women's OLIVE Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-C-OLIVE-L,House Of Raeli,Dresses,,Olive,L,Women,100% Cotton,India,625,100,7,Woven,Women's OLIVE Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-C-OLIVE-XL,House Of Raeli,Dresses,,Olive,XL,Women,100% Cotton,India,625,100,4,Woven,Women's OLIVE Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25004-C-OLIVE-XXL,House Of Raeli,Dresses,,Olive,XXL,Women,100% Cotton,India,625,100,4,Woven,Women's OLIVE Cotton Poplin Maxi Dress DRESSES,,,,,,,,,Plain,Maxi,A-Line,Long Sleeves,Collared Neck,Cuffed Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-A-BLACK-S,House Of Raeli,Dresses,,Black,S,Women,100% Cotton,India,550,90,4,Woven,Women's Black Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-A-BLACK-M,House Of Raeli,Dresses,,Black,M,Women,100% Cotton,India,550,90,7,Woven,Women's Black Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
HRDS25006-A-BLACK-L,House Of Raeli,Dresses,,Black,L,Women,100% Cotton,India,550,90,7,Woven,Women's Black Cotton Poplin Midi Dress DRESSES,,,,,,,,,Plain,Midi,A-Line,Short Sleeves,Collared Neck,Cape Sleeve,,,,,,,,,,,,,,,,,,,,
